# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 78K of event 'cpu_core/cycles/Pu'
# Event count (approx.): 3766121620191
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.11%  cobre    cobre                [.] assessExcessiveObjectiveBoundScaling(HighsLogOptions, HighsModel const&, HighsUserScaleData&)
     0.11%  cobre    cobre                [.] HEkkDualRHS::createArrayOfPrimalInfeasibilities()
     0.11%  cobre    cobre                [.] HVectorBase<double>::pack()
     0.10%  cobre    cobre                [.] HEkk::computePrimalObjectiveValue()
     0.09%  cobre    cobre                [.] getPrimalDualBasisErrors(HighsOptions const&, HighsLp const&, HighsSolution const&, HighsBasis const&, HighsPrimalDualErrors&)
     0.08%  cobre    cobre                [.] highs_isInfinity(double)
     0.08%  cobre    cobre                [.] HEkk::initialiseLpColBound()
     0.07%  cobre    cobre                [.] presolve::HPresolve::detectParallelRowsAndCols(presolve::HighsPostsolveStack&)
     0.07%  cobre    cobre                [.] HSimplexNla::debugCheckData(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) const
     0.06%  cobre    cobre                [.] HEkk::initialiseLpColCost()
     0.06%  cobre    cobre                [.] HEkk::putBacktrackingBasis(std::vector<int, std::allocator<int> > const&)
     0.06%  cobre    libc.so.6            [.] cfree@GLIBC_2.2.5
     0.06%  cobre    cobre                [.] HEkk::initialiseLpRowBound()
     0.06%  cobre    cobre                [.] parquet::util::interner::Interner<S>::intern
     0.06%  cobre    cobre                [.] HEkkPrimal::phase2UpdatePrimal(bool)
     0.06%  cobre    cobre                [.] HEkk::getNonsingularInverse(int)
     0.06%  cobre    cobre                [.] HEkkDualRow::chooseFinalLargeAlpha(int&, int&, int, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > const&, std::vector<int, std::allocator<int> > const&)
     0.06%  cobre    cobre                [.] cobre_stochastic::correlation::spectral::SpectralFactor::decompose_with_diagnostics
     0.05%  cobre    cobre                [.] ZSTD_compressBlock_doubleFast
     0.05%  cobre    cobre                [.] HEkkDual::chooseRow()
     0.05%  cobre    cobre                [.] assessBounds(HighsOptions const&, char const*, int, HighsIndexCollection const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, HighsVarType const*)
     0.05%  cobre    cobre                [.] HEkk::factorSolveError()
     0.05%  cobre    libc.so.6            [.] _int_free_chunk
     0.04%  cobre    cobre                [.] HEkkDual::updatePrimal(HVectorBase<double>*)
     0.04%  cobre    cobre                [.] HighsSparseMatrix::numNz() const
     0.04%  cobre    cobre                [.] HighsSimplexAnalysis::simplexTimerStop(int, int)
     0.04%  cobre    libc.so.6            [.] unlink_chunk.isra.0
     0.03%  cobre    cobre                [.] HEkk::initialiseNonbasicValueAndMove()
     0.03%  cobre    cobre                [.] HEkk::computeDualForTableauColumn(int, HVectorBase<double> const&) const
     0.03%  cobre    cobre                [.] HighsSparseMatrix::hasLargeValue(double)
     0.03%  cobre    cobre                [.] getComplementarityViolations(HighsLp const&, HighsSolution const&, double, int&, double&)
     0.03%  cobre    cobre                [.] HEkkDual::shiftBack(int)
     0.03%  cobre    cobre                [.] std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
     0.03%  cobre    cobre                [.] std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >::_M_default_append(unsigned long)
     0.03%  cobre    cobre                [.] parquet::encodings::rle::RleEncoder::put
     0.03%  cobre    libc.so.6            [.] _int_free_create_chunk
     0.03%  cobre    cobre                [.] HEkk::getSolution()
     0.03%  cobre    cobre                [.] HEkk::getHighsBasis(HighsLp&) const
     0.03%  cobre    cobre                [.] HEkkDual::iterationAnalysisData()
     0.03%  cobre    cobre                [.] presolve::HPresolve::link(int)
     0.03%  cobre    cobre                [.] core::hash::BuildHasher::hash_one
     0.03%  cobre    cobre                [.] parquet::util::interner::Interner<S>::intern
     0.02%  cobre    cobre                [.] std::vector<HighsCDouble, std::allocator<HighsCDouble> >::_M_default_append(unsigned long)
     0.02%  cobre    cobre                [.] HEkkDual::computeDualInfeasibilitiesWithFixedVariableFlips()
     0.02%  cobre    cobre                [.] std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
     0.02%  cobre    cobre                [.] HEkk::computeSimplexLpDualInfeasible()
     0.02%  cobre    cobre                [.] HighsSparseMatrix::addRows(HighsSparseMatrix, signed char const*)
     0.02%  cobre    cobre                [.] HighsSimplexAnalysis::simplexTimerStart(int, int)
     0.02%  cobre    cobre                [.] HEkkDual::iterate()
     0.02%  cobre    cobre                [.] computeDualObjectiveValue(double const*, HighsLp const&, HighsSolution const&, double&)
     0.02%  cobre    cobre                [.] HEkkDualRow::createFreelist()
     0.02%  cobre    cobre                [.] HFactor::setupGeneral(int, int, int, int const*, int const*, double const*, int*, double, double, int, HighsLogOptions const*, bool, int)
     0.02%  cobre    cobre                [.] HEkkDual::updateFtran()
     0.02%  cobre    cobre                [.] HEkk::tableauRowPrice(bool, HVectorBase<double> const&, HVectorBase<double>&, int)
     0.02%  cobre    cobre                [.] cobre_io::output::simulation_writer::build_hydros_batch
     0.02%  cobre    cobre                [.] HEkkPrimal::initialiseDevexFramework()
     0.02%  cobre    cobre                [.] std::pair<std::_Rb_tree_iterator<std::pair<int, int> >, bool> std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_emplace_unique<int&, int&>(int&, int&)
     0.02%  cobre    cobre                [.] cobre_stochastic::correlation::spectral::SpectralFactor::transform
