# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 78K of event 'cpu_core/cycles/Pu'
# Event count (approx.): 3766121620191
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  cobre    cobre                [.] presolve::HPresolve::rowPresolve(presolve::HighsPostsolveStack&, int)::{lambda(int, int, double, double, HighsCDouble const&, presolve::HighsPostsolveStack::RowType)#1}::operator()(int, int, double, double, HighsCDouble const&, presolve::HighsPostsolveStack::RowType) const
     0.00%  cobre    libm.so.6            [.] __ieee754_pow_fma
     0.00%  cobre    cobre                [.] HEkkDualRow::createFreemove(HVectorBase<double>*)
     0.00%  cobre    cobre                [.] HSimplexNla::sparseLoopStyle(int, int, int&) const
     0.00%  cobre    cobre                [.] presolve::HPresolve::markChangedRow(int)
     0.00%  cobre    cobre                [.] presolve::HPresolve::checkLimits(presolve::HighsPostsolveStack&)
     0.00%  cobre    cobre                [.] HighsHashTable<unsigned long, void>::growTable()
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::handleVarUpper(int, double, double, int)
     0.00%  cobre    cobre                [.] HEkkPrimal::considerBoundSwap()
     0.00%  cobre    cobre                [.] HEkkPrimal::initialiseInstance()
     0.00%  cobre    cobre                [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     0.00%  cobre    cobre                [.] presolve::HPresolve::unlink(int)
     0.00%  cobre    cobre                [.] HSimplexNla::transformForUpdate(HVectorBase<double>*, HVectorBase<double>*, int, int)
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::shrink(std::vector<int, std::allocator<int> > const&, int)
     0.00%  cobre    cobre                [.] HEkk::setBasis()
     0.00%  cobre    cobre                [.] cobre_sddp::training::training::train
     0.00%  cobre    cobre                [.] cobre_sddp::stochastic::noise::transform_ncs_noise
     0.00%  cobre    cobre                [.] memcpy@plt
     0.00%  cobre    cobre                [.] std::set<int, std::less<int>, std::allocator<int> >* std::__do_uninit_fill_n<std::set<int, std::less<int>, std::allocator<int> >*, unsigned long, std::set<int, std::less<int>, std::allocator<int> > >(std::set<int, std::less<int>, std::allocator<int> >*, unsigned long, std::set<int, std::less<int>, std::allocator<int> > const&)
     0.00%  cobre    cobre                [.] bool okAssign<int>(std::vector<int, std::allocator<int> >&, int, int)
     0.00%  cobre    cobre                [.] <core::iter::adapters::flatten::FlatMap<I,U,F> as core::iter::traits::iterator::Iterator>::next
     0.00%  cobre    libstdc++.so.6.0.36  [.] malloc@plt
     0.00%  cobre    cobre                [.] frexp@plt
     0.00%  cobre    cobre                [.] operator new(unsigned long)@plt
     0.00%  cobre    cobre                [.] HEkkPrimal::debugPrimalSimplex(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool)
     0.00%  cobre    cobre                [.] presolve::HPresolve::getColumnVector(int) const
     0.00%  cobre    cobre                [.] HSimplexNla::btran(HVectorBase<double>&, double, HighsTimerClock*) const
     0.00%  cobre    cobre                [.] Highs::changeColsBounds(int, int const*, double const*, double const*)
     0.00%  cobre    cobre                [.] cobre_sddp::simulation::extraction::hydro_operational_slacks
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::remove(int, int, double)
     0.00%  cobre    cobre                [.] cobre_stochastic::correlation::resolve::DecomposedCorrelation::groups_for_stage
     0.00%  cobre    cobre                [.] <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold
     0.00%  cobre    cobre                [.] HSimplexNla::reportPackValue(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, HVectorBase<double> const*, bool) const
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::handleVarLower(int, double, double, int)
     0.00%  cobre    cobre                [.] Highs::setNonbasicStatusInterface(HighsIndexCollection const&, bool)
     0.00%  cobre    cobre                [.] HSimplexNla::btranInScaledSpace(HVectorBase<double>&, double, HighsTimerClock*) const
     0.00%  cobre    cobre                [.] cobre_sddp::training::forward::stage_solve::run_forward_stage
     0.00%  cobre    cobre                [.] HEkkDualRow::deleteFreelist(int)
     0.00%  cobre    cobre                [.] cobre_sddp::solver_stats::SolverStatsDelta::from_snapshots
     0.00%  cobre    cobre                [.] HighsInfo::initRecords()
     0.00%  cobre    cobre                [.] HFactor::ftranCall(HVectorBase<double>&, double, HighsTimerClock*) const
     0.00%  cobre    cobre                [.] presolve::HPresolve::toCSC(std::vector<double, std::allocator<double> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&)
     0.00%  cobre    cobre                [.] cobre_sddp::solve::stage_solve::fill_unscaled_dual
     0.00%  cobre    cobre                [.] HEkk::choosePriceTechnique(int, double, bool&, bool&) const
     0.00%  cobre    cobre                [.] presolve::HPresolve::getRowPositions(int, std::vector<int, std::allocator<int> >&) const
     0.00%  cobre    cobre                [.] alloc::vec::in_place_collect::from_iter_in_place
     0.00%  cobre    libstdc++.so.6.0.36  [.] std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
     0.00%  cobre    cobre                [.] cobre_sddp::training::stage_solve_prep::StageSolvePrep::run
     0.00%  cobre    cobre                [.] HEkkPrimal::considerInfeasibleValueIn()
     0.00%  cobre    cobre                [.] presolve::HPresolve::~HPresolve()
     0.00%  cobre    cobre                [.] cobre_stochastic::par::fitting::partitioned_covariance::conditional_facp_partitioned
     0.00%  cobre    cobre                [.] debugHighsSolution(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, HighsOptions const&, HighsModel const&, HighsSolution const&, HighsBasis const&, HighsModelStatus, HighsInfo const&)
     0.00%  cobre    cobre                [.] cobre_sddp::simulation::pipeline::solve_simulation_stage
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarLower(int, int) const
     0.00%  cobre    cobre                [.] cobre_io::scenarios::estimation::load_and_aggregate_observations
     0.00%  cobre    cobre                [.] arrow_array::builder::primitive_builder::PrimitiveBuilder<T>::append_null
     0.00%  cobre    cobre                [.] HEkkDualRow::deleteFreemove()
     0.00%  cobre    cobre                [.] cobre_sddp::lp::builder::entries::assemble_csc
     0.00%  cobre    cobre                [.] cobre_io::output::simulation_writer::scenario_batch_thermals
     0.00%  cobre    cobre                [.] void std::vector<double, std::allocator<double> >::_M_realloc_append<double const&>(double const&)
     0.00%  cobre    cobre                [.] parquet::column::writer::encoder::ColumnValueEncoderImpl<T>::write_slice
     0.00%  cobre    cobre                [.] HEkkDual::shiftCost(int, double)
     0.00%  cobre    libc.so.6            [.] __memcmp_avx2_movbe
     0.00%  cobre    cobre                [.] arrow_array::builder::primitive_builder::PrimitiveBuilder<T>::append_value
     0.00%  cobre    cobre                [.] cobre_io::output::simulation_writer::scenario_batch_inflow_lags
     0.00%  cobre    cobre                [.] cobre_sddp::cut::row::build_cut_row_batch_into
     0.00%  cobre    cobre                [.] core::hash::BuildHasher::hash_one
     0.00%  cobre    cobre                [.] <chrono::naive::date::NaiveDate as core::fmt::Debug>::fmt
     0.00%  cobre    cobre                [.] core::ops::function::impls::<impl core::ops::function::FnMut<A> for &F>::call_mut
     0.00%  cobre    cobre                [.] cobre_sddp::convergence::risk_measure::RiskMeasure::aggregate_cut_into
     0.00%  cobre    cobre                [.] crossbeam_deque::deque::Stealer<T>::steal
     0.00%  cobre    libc.so.6            [.] realloc
     0.00%  cobre    cobre                [.] cobre_io::validation::semantic::scenarios::check_estimation_prerequisites
     0.00%  cobre    cobre                [.] presolve::HPresolve::aggregator(presolve::HighsPostsolveStack&)
     0.00%  cobre    cobre                [.] presolve::HighsPostsolveStack::FixedCol::undo(HighsOptions const&, std::vector<presolve::HighsPostsolveStack::Nonzero, std::allocator<presolve::HighsPostsolveStack::Nonzero> > const&, HighsSolution&, HighsBasis&) const
     0.00%  cobre    cobre                [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace(unsigned long, unsigned long, char const*, unsigned long)@plt
     0.00%  cobre    cobre                [.] Highs_getBasis
     0.00%  cobre    libstdc++.so.6.0.36  [.] memcpy@plt
     0.00%  cobre    cobre                [.] cobre_sddp::cut::cut_sync::CutSyncBuffers::pack_pool_into
     0.00%  cobre    cobre                [.] HEkk::unitBtran(int, HVectorBase<double>&)
     0.00%  cobre    cobre                [.] HEkkPrimal::localReportIter(bool)
     0.00%  cobre    cobre                [.] std::vector<signed char, std::allocator<signed char> >::_M_fill_assign(unsigned long, signed char const&)
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarLower(int, double, double, int) const
     0.00%  cobre    cobre                [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.00%  cobre    cobre                [.] HEkk::solve(bool)
     0.00%  cobre    cobre                [.] HEkkDual::rebuild()
     0.00%  cobre    cobre                [.] buildMaxheap(int*, int*, int)
     0.00%  cobre    cobre                [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.00%  cobre    cobre                [.] initialiseScatterData(int, HighsScatterData&)
     0.00%  cobre    cobre                [.] presolve::HPresolve::okSetInput(HighsLp&, HighsOptions const&, int, HighsTimer*)
     0.00%  cobre    cobre                [.] cobre_sddp::lp::builder::commitment_reconcile::fill_bound_relaxations
     0.00%  cobre    cobre                [.] cobre_solver::backends::highs::interface::<impl cobre_solver::trait_def::SolverInterface for cobre_solver::backends::highs::solver::HighsSolver>::load_model
     0.00%  cobre    cobre                [.] highsLogDev(HighsLogOptions const&, HighsLogType, char const*, ...)
     0.00%  cobre    cobre                [.] reportSimplexPhaseIterations(HighsLogOptions const&, int, HighsSimplexInfo&, bool)
     0.00%  cobre    cobre                [.] core::ptr::drop_in_place<cobre_sddp::production::hydro_models::types::PrepareHydroModelsResult>
     0.00%  cobre    cobre                [.] presolve::HPresolve::colPresolve(presolve::HighsPostsolveStack&, int)
     0.00%  cobre    cobre                [.] HEkk::fullBtran(HVectorBase<double>&)
     0.00%  cobre    libc.so.6            [.] _int_realloc
     0.00%  cobre    cobre                [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::operator=(std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> > const&) [clone .isra.0]
     0.00%  cobre    cobre                [.] HEkkDualRow::clear()
     0.00%  cobre    libstdc++.so.6.0.36  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)@plt
     0.00%  cobre    cobre                [.] std::vector<HighsBasisStatus, std::allocator<HighsBasisStatus> >::_M_fill_append(unsigned long, HighsBasisStatus const&)
     0.00%  cobre    cobre                [.] HighsSimplexAnalysis::userInvertReport(bool, bool)
     0.00%  cobre    cobre                [.] std::vector<char, std::allocator<char> >::_M_fill_assign(unsigned long, char const&)
     0.00%  cobre    cobre                [.] HighsSimplexAnalysis::simplexTimerRunning(int, int) const
     0.00%  cobre    cobre                [.] std::time::Instant::now
     0.00%  cobre    cobre                [.] presolve::HPresolve::changeImplRowDualUpper(int, double, int)
     0.00%  cobre    libc.so.6            [.] __mpn_cmp
     0.00%  cobre    cobre                [.] HighsLp::operator=(HighsLp&&) [clone .isra.0]
     0.00%  cobre    cobre                [.] HighsSimplexAnalysis::reportInfeasibility(bool)
     0.00%  cobre    cobre                [.] OptionRecordString::OptionRecordString(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
     0.00%  cobre    cobre                [.] HEkkDual::~HEkkDual()
     0.00%  cobre    cobre                [.] hashbrown::raw::RawIterRange<T>::fold_impl
     0.00%  cobre    cobre                [.] presolve::HPresolve::changeImplColLower(int, double, int)
     0.00%  cobre    cobre                [.] cobre_io::validation::semantic::season::check_observation_season_alignment
     0.00%  cobre    libstdc++.so.6.0.36  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve(unsigned long)@plt
     0.00%  cobre    cobre                [.] HighsLp::clear()
     0.00%  cobre    cobre                [.] std::io::buffered::bufwriter::BufWriter<W>::write_all_cold
     0.00%  cobre    cobre                [.] bool okResize<double>(std::vector<double, std::allocator<double> >&, int, double)
     0.00%  cobre    cobre                [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.00%  cobre    [vdso]               [.] 0x0000000000000abe
     0.00%  cobre    cobre                [.] cobre_stochastic::sampling::ForwardSampler::sample
     0.00%  cobre    cobre                [.] core::ops::function::impls::<impl core::ops::function::FnMut<A> for &F>::call_mut
     0.00%  cobre    [vdso]               [.] 0x0000000000000a89
     0.00%  cobre    cobre                [.] presolve::HPresolve::resetRowDualImpliedBoundsDerivedFromCol(int)
     0.00%  cobre    cobre                [.] presolve::HPresolve::isImpliedEquationAtLower(int) const
     0.00%  cobre    cobre                [.] void std::vector<int, std::allocator<int> >::_M_realloc_append<int const&>(int const&)
     0.00%  cobre    cobre                [.] cobre_solver::backends::highs::solver::HighsSolver::extract_solution_view
     0.00%  cobre    cobre                [.] cobre_sddp::solve::stage_solve::run_stage_solve
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::getResidualSumLower(int, int, double, int, double, double) const
     0.00%  cobre    cobre                [.] presolve::HPresolve::updateRowDualImpliedBounds(int)
     0.00%  cobre    cobre                [.] cobre_io::output::simulation_writer::scenario_batch_hydro_bus_generation
     0.00%  cobre    cobre                [.] cobre_stochastic::sampling::out_of_sample::fill_uncorrelated
     0.00%  cobre    cobre                [.] rand::rng::RngExt::sample
     0.00%  cobre    cobre                [.] HEkk::debugReportReinvertOnNumericalTrouble(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, double, double, double, double, bool) const
     0.00%  cobre    libstdc++.so.6.0.36  [.] std::_Rb_tree_increment(std::_Rb_tree_node_base*)
     0.00%  cobre    cobre                [.] HEkkDual::improveChooseColumnRow(HVectorBase<double>*)
     0.00%  cobre    cobre                [.] solveLpSimplex(HighsLpSolverObject&)
     0.00%  cobre    cobre                [.] pow@plt
     0.00%  cobre    cobre                [.] presolve::HPresolve::findNonzero(int, int)
     0.00%  cobre    cobre                [.] parquet::column::writer::GenericColumnWriter<E>::add_data_page
     0.00%  cobre    libstdc++.so.6.0.36  [.] std::basic_ios<char, std::char_traits<char> >::init(std::basic_streambuf<char, std::char_traits<char> >*)@plt
     0.00%  cobre    cobre                [.] create(HighsIndexCollection&, int, int const*, int)
     0.00%  cobre    cobre                [.] HEkk::fullPrice(HVectorBase<double> const&, HVectorBase<double>&)
     0.00%  cobre    cobre                [.] parquet::column::writer::GenericColumnWriter<E>::write_batch_internal
     0.00%  cobre    cobre                [.] std::_Rb_tree_node_base* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_copy<false, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Reuse_or_alloc_node>(std::_Rb_tree_node<int>*, std::_Rb_tree_node_base*, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Reuse_or_alloc_node&) [clone .isra.0]
     0.00%  cobre    cobre                [.] std::vector<char, std::allocator<char> >::_M_default_append(unsigned long)
     0.00%  cobre    libc.so.6            [.] __mpn_lshift
     0.00%  cobre    cobre                [.] HEkk::initialiseCost(SimplexAlgorithm, int, bool)
     0.00%  cobre    cobre                [.] void std::vector<double, std::allocator<double> >::_M_realloc_append<double>(double&&)
     0.00%  cobre    cobre                [.] HEkk::computeFactor()
     0.00%  cobre    cobre                [.] core::hash::BuildHasher::hash_one
     0.00%  cobre    cobre                [.] cobre_sddp::training::backward::outcome_aggregation::write_opening_outcome
     0.00%  cobre    cobre                [.] HighsSolution::clear()
     0.00%  cobre    cobre                [.] parquet::arrow::arrow_writer::levels::LevelInfoBuilder::try_new
     0.00%  cobre    cobre                [.] HSimplexNla::applyBasisMatrixColScale(HVectorBase<double>&) const
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::getResidualSumUpper(int, int, double, int, double, double) const
     0.00%  cobre    cobre                [.] cobre_sddp::training::backward::duals_extraction::fill_state_duals
     0.00%  cobre    cobre                [.] PresolveComponent::clear()
     0.00%  cobre    libstdc++.so.6.0.36  [.] std::__cxx11::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >::~basic_stringstream()
     0.00%  cobre    cobre                [.] HEkkDual::solve(bool)
     0.00%  cobre    cobre                [.] cobre_stochastic::tree::opening_tree::OpeningTreeView::opening
     0.00%  cobre    cobre                [.] solveLp(HighsLpSolverObject&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
     0.00%  cobre    cobre                [.] HEkkPrimal::removeNonbasicFreeColumn()
     0.00%  cobre    cobre                [.] presolve::HPresolve::presolveChangedRows(presolve::HighsPostsolveStack&)
     0.00%  cobre    cobre                [.] Highs::newHighsBasis()
     0.00%  cobre    cobre                [.] HEkk::invalidateDualInfeasibilityRecord()
     0.00%  cobre    cobre                [.] bool okResize<int>(std::vector<int, std::allocator<int> >&, int, int)
     0.00%  cobre    cobre                [.] cobre_sddp::training::backward::duals_extraction::extract_duals_from_view
     0.00%  cobre    cobre                [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.00%  cobre    cobre                [.] HEkkDual::bailoutOnDualObjective()
     0.00%  cobre    libc.so.6            [.] __strchrnul_avx2
     0.00%  cobre    cobre                [.] presolve::HPresolve::computeColBounds(int, int, double, int, double*, double*, double*, double*)::{lambda(presolve::HPresolve::computeColBounds(int, int, double, int, double*, double*, double*, double*)::nonZeros const&, double, int, bool)#1}::operator()(presolve::HPresolve::computeColBounds(int, int, double, int, double*, double*, double*, double*)::nonZeros const&, double, int, bool) const
     0.00%  cobre    cobre                [.] HighsHashTable<int, int>::operator[](int const&)
     0.00%  cobre    libc.so.6            [.] __mpn_mul
     0.00%  cobre    cobre                [.] std::vector<std::_Rb_tree_const_iterator<std::pair<int, int> >, std::allocator<std::_Rb_tree_const_iterator<std::pair<int, int> > > >::_M_fill_assign(unsigned long, std::_Rb_tree_const_iterator<std::pair<int, int> > const&)
     0.00%  cobre    cobre                [.] ZSTD_selectEncodingType
     0.00%  cobre    cobre                [.] memmove@plt
     0.00%  cobre    cobre                [.] <parquet::column::writer::encoder::ColumnValueEncoderImpl<T> as parquet::column::writer::encoder::ColumnValueEncoder>::try_new
     0.00%  cobre    cobre                [.] HIST_countFast_wksp
     0.00%  cobre    cobre                [.] HEkk::moveLp(HighsLpSolverObject&)
     0.00%  cobre    cobre                [.] void std::vector<int, std::allocator<int> >::_M_range_insert<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, std::forward_iterator_tag) [clone .isra.0]
     0.00%  cobre    cobre                [.] parquet::arrow::arrow_writer::ArrowWriter<W>::write
     0.00%  cobre    cobre                [.] FSE_buildCTable_wksp
     0.00%  cobre    cobre                [.] presolve::HPresolve::resetColImpliedBounds(int, int)
     0.00%  cobre    cobre                [.] HUF_simpleQuickSort
     0.00%  cobre    cobre                [.] cobre_io::output::simulation_writer::scenario_batch_exchanges
     0.00%  cobre    cobre                [.] arrow_array::builder::primitive_builder::PrimitiveBuilder<T>::append_value
     0.00%  cobre    cobre                [.] std::thread::functions::yield_now
     0.00%  cobre    cobre                [.] cobre_sddp::lp::builder::patch::PatchBuffer::fill_forward_patches
     0.00%  cobre    cobre                [.] HEkkPrimal::solvePhase2()
     0.00%  cobre    cobre                [.] cobre_stochastic::par::lag_kernel::advance_lag_chain
     0.00%  cobre    cobre                [.] presolve::HPresolve::removeFixedCol(int, double)
     0.00%  cobre    cobre                [.] arrow_array::builder::boolean_builder::BooleanBuilder::append_value
     0.00%  cobre    libc.so.6            [.] __libc_calloc2
     0.00%  cobre    cobre                [.] HEkkDual::isBadBasisChange()
     0.00%  cobre    cobre                [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase(std::_Rb_tree_node<int>*) [clone .isra.0]
     0.00%  cobre    cobre                [.] HighsLinearSumBounds::getResidualSumUpperOrig(int, int, double, int, double, double) const
     0.00%  cobre    cobre                [.] core::slice::sort::unstable::quicksort::quicksort
     0.00%  cobre    cobre                [.] cobre_sddp::policy::scaling_report::summarize_scale_factors
     0.00%  cobre    cobre                [.] cobre_stochastic::par::fitting::estimation::estimate_ar_with_pacf_annual
     0.00%  cobre    cobre                [.] cobre_io::output::simulation_writer::scenario_batch_buses
     0.00%  cobre    cobre                [.] cobre_sddp::lp::builder::scaling::compute_col_scale
     0.00%  cobre    cobre                [.] parquet::column::writer::GenericColumnWriter<E>::truncate_statistics
     0.00%  cobre    cobre                [.] cobre_stochastic::par::fitting::estimation::group_observations_by_season
     0.00%  cobre    cobre                [.] chrono::naive::date::NaiveDate::signed_duration_since
     0.00%  cobre    cobre                [.] cobre_stochastic::par::aggregate::aggregate_observations_to_season
     0.00%  cobre    cobre                [.] cobre_core::model::temporal::SeasonMap::season_for_date
     0.00%  cobre    cobre                [.] chrono::naive::date::NaiveDate::from_ymd_opt
     0.00%  cobre    cobre                [.] cobre_sddp::lp::builder::columns::fill_stage_columns
     0.00%  cobre    cobre                [.] cobre_sddp::lp::builder::scaling::apply_row_scale
     0.00%  cobre    cobre                [.] cobre_sddp::lp::builder::entries::build_stage_matrix_entries
     0.00%  cobre    cobre                [.] core::slice::sort::shared::smallsort::small_sort_general
     0.00%  cobre    cobre                [.] cobre_io::output::hydro_models::write_fpha_hyperplanes
     0.00%  cobre    cobre                [.] serde_core::ser::impls::<impl serde_core::ser::Serialize for alloc::vec::Vec<T>>::serialize
     0.00%  cobre    cobre                [.] <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
     0.00%  cobre    cobre                [.] ZSTD_createCCtx
     0.00%  cobre    cobre                [.] cobre_core::model::resolved::bounds::_::<impl serde_core::ser::Serialize for cobre_core::model::resolved::bounds::HydroCell>::serialize
     0.00%  cobre    cobre                [.] <serde_json::de::SeqAccess<R> as serde_core::de::SeqAccess>::next_element_seed::has_next_element
     0.00%  cobre    cobre                [.] qh_setnew
     0.00%  cobre    cobre                [.] qh_setdel
     0.00%  cobre    cobre                [.] cobre_io::windowed_history::validate_windowed_records
     0.00%  cobre    cobre                [.] qh_triangulate
     0.00%  cobre    cobre                [.] core::ops::function::impls::<impl core::ops::function::FnMut<A> for &F>::call_mut
     0.00%  cobre    cobre                [.] hashbrown::raw::RawTable<T,A>::reserve_rehash
     0.00%  cobre    cobre                [.] cobre_sddp::production::fpha_fitting::fit_fpha_planes
     0.00%  cobre    cobre                [.] cobre_io::scenarios::inflow_history::parse_inflow_history
     0.00%  cobre    cobre                [.] qh_getcenter
     0.00%  cobre    cobre                [.] core::hash::BuildHasher::hash_one
     0.00%  cobre    cobre                [.] <alloc::string::String as core::clone::Clone>::clone
     0.00%  cobre    cobre                [.] cobre_sddp::production::fpha_fitting::geometry::ForebayTable::new
     0.00%  cobre    libc.so.6            [.] sysmalloc
     0.00%  cobre    cobre                [.] HighsIis::clear()


#
# (Tip: To show context switches in perf report sample context add --switch-events to perf record.)
#
